number,name,address,lat,lng,
15041,15041 - LABROUSTE,13 RUE FRANQUET - 75015 PARIS,48.8328539083, 2.30689847821,
16103,16103 - TRAKTIR,3 RUE TRAKTIR - 75016 PARIS,48.872799156, 2.29150817943,
7022,07022 - PONT DE L'ALMA,3 AVENUE BOSQUET - 75007 PARIS,48.8616404996, 2.30225034418,
35012,35012 - CANDALE (PANTIN),FACE AU 12 RUE CANDALE - 93500 PANTIN,48.8894858402, 2.41430751511,
20107,20107 - STADE MARYSE HILSZ,26 RUE MARYSE HILSZ - 75020 PARIS,48.8512852762, 2.41273364163,
16038,16038 - RUE MOLITOR,RUE MOLITOR - 75016 PARIS,48.8450971265, 2.2657241479,
4020,04020 - BEAUBOURG PLACE MICHELET,FACE 27 RUE QUINCAMPOIX - 75004 PARIS,48.8600883261, 2.35014833592,
20027,20027 - PORTE DE MENILMONTANT,1 rue Vidal de la Blache / Angle 78 boulevard Mortier - 75020 PARIS,48.8691543609, 2.40932246879,
12015,12015 - NATION PICPUS,FACE 67 BOULEVARD DE PICPUS - 75012 PARIS,48.8469643595, 2.39986827743,
15040,15040 - MONCLAR,33 BIS RUE SAINT AMAND - 75015 PARIS,48.8341171478, 2.30885001547,
12031,12031 - LAME,49 RUE GABRIEL LAME - 75012 PARIS,48.8351380507, 2.38547848656,
15054,15054 - CHANDON,293 RUE LECOURBE - 75015 PARIS,48.837970342, 2.28758230704,
10029,10029 - PLACE DE ROUBAIX,39 RUE DE DUNKERQUE - 75010 PARIS,48.8807266858, 2.3514643332,
9004,09004 - ROCHECHOUART GERANDO,19 RUE GUERANDO - 75009 PARIS,48.8829110895, 2.34631937163,
19012,19012 - LALLY TOLLENDAL,5 RUE LALLY TOLLENDAL - 75019 PARIS,48.8827006442, 2.37469338894,
21018,21018 - SEINE (BOULOGNE-BILLANCOURT),FACE AU 13 RUE DE LA SEINE - 92100 BOULOGNE-BILLANCOURT,48.8282434942, 2.25065773964,
18027,18027 - DAMREMONT ORDENER,102 RUE DAMREMONT - 75018 PARIS,48.893400393, 2.33626652391,
9009,09009 - SQUARE MONTHOLON,26 RUE MONTHOLON - 75009 PARIS,48.8766011714, 2.3457855168,
15115,15115 - VAUGIRARD,25-31 BOULEVARD DE VAUGIRARD - 75015 PARIS,48.8413252598, 2.31829155159,
9036,09036 - ATHENES CLICHY,4 RUE D'ATHENES - 75009 PARIS,48.8781137879, 2.32956021946,
17050,17050 - BATIGNOLLES,1 RUE DES BATIGNOLLES - 75017 PARIS,48.8831039046, 2.32383474909,
31704,31704 - HORNET (BAGNOLET),FACE AU 1 RUE JEANNE HORNET - 93170 BAGNOLET,48.8739292, 2.42793357978,
43007,43007 - VORGES (VINCENNES),4 AVENUE VORGES - 94300 VINCENNES,48.8482577527, 2.43989289939,
13045,13045 - TOLBIAC ALBERT,FACE 1 RUE JEAN COLLY - 75013 PARIS,48.8278380326, 2.37053056386,
35003,35003 - VAILLANT (PANTIN),ANGLE RUE GENERAL GOSSERAND ET AVENUE EDOUARD VAILLANT - 93500 PANTIN,48.902691618, 2.39325582933,
20116,20116 - HAIES REUNION,53 RUE DES HAIES - 75020 PARIS,48.8538689677, 2.40242616224,
13005,13005 - ARAGO CORDELIERE - VERSION 2,2 RUE DES CORDELIERES - 75013 PARIS,48.835480719, 2.3485724617,
21106,21106 - MORICE 2 (CLICHY),2-4 RUE MORICE - 92110 CLICHY,48.9006603494, 2.30856953503,
19111,19111 - ROSA PARKS – GARE RER E,Parvis Nord Gare RER E ROSA PARKS - 75019 PARIS,48.8972395464, 2.37504277378,
21501,21501 - SELLIER (SURESNES),RUE DE SAINT CLOUD / BOULEVARD HENRI SELLIER - 92150 SURESNES,48.8675658061, 2.22599848496,
1007,01007 - ETIENNE MARCEL,2 RUE DE TURBIGO - 75001 PARIS,48.8635670471, 2.34770202114,
8105,08105 - FRANCOIS 1ER LINCOLN,56 RUE FRANCOIS 1ER - 75008 PARIS,48.8695179793, 2.30242621884,
16042,16042 - PORTE DE SAINT CLOUD,120 BOULEVARD MURAT - 75016 PARIS,48.83755526, 2.25797257271,
18022,18022 - BARBES MARCADET,57 RUE MARCADET - 75018 PARIS,48.890451121, 2.34905739297,
17007,17007 - NAVIER,FACE 57 RUE NAVIER - 75017 PARIS,48.8959141175, 2.32272736705,
17116,17116 - REIMS,6 BOULEVARD DE REIMS - 75017 PARIS,48.8918344482, 2.30014465995,
3013,03013 - RUE DE SEVIGNE,36 RUE DE SEVIGNE - 75003 PARIS,48.8569541481, 2.36289742023,
18005,18005 - TARDIEU,8 RUE TARDIEU - 75018 PARIS,48.8841632665, 2.34187980231,
8002,08002 - GARE SAINT LAZARE - COUR DU HAVRE,Cour du Havre - Face au 2, rue d'Amsterdam - 75008 PARIS,48.87572,2017-04-08T18:31:15+02:00
11042,11042 - OBERKAMPF,1 RUE DU GRAND PRIEURE - 75011 PARIS,48.8646494199, 2.36926143826,
20019,20019 - MAQUIS DU VERCORS - PORTE DES LILAS,PLACE DU MARQUIS DU VERCORS - 75020 PARIS,48.877336, 2.408573,
9002,09002 - MAUBEUGE CONDORCET,19 RUE D'ABBEVILLE - 75009 PARIS,48.8792233706, 2.34914749354,
14036,14036 - BOULARD DAGUERRE,14 RUE BOULARD - 75014 PARIS,48.834390797, 2.32930394655,
35008,35008 - LOLIVE 2 (PANTIN),132 RUE JEAN LOLIVE - 93500 PANTIN,48.8927196663, 2.41252957147,
15026,15026 - BIR HAKEIM,FACE 6 BOULEVARD DE GRENELLE - 75015 PARIS,48.8538440543, 2.28970534822,
18040,18040 - CHAPELLE MARX DORMOY,29 BOULEVARD DE LA CHAPELLE - 75018 PARIS,48.8845700632, 2.36021557266,
10006,10006 - PETITES ECURIES,5 RUE DES PETITES ECURIES - 75010 PARIS,48.8729397678, 2.35403448428,
7014,07014 - SAINT FRANCOIS XAVIER,35 BOULEVARD DES INVALIDES - 75007 PARIS,48.851678229, 2.31463384063,
11004,11004 - CHARONNE SAINT ANTOINE,3 RUE DE CHARONNE - 75011 PARIS,48.85225529, 2.37402723561,
13046,13046 - OUDINE PATAY,10 RUE EUGENE OUDINE - 75013 PARIS,48.8257129035, 2.37504430009,
11009,11009 - RUE DES BOULETS,45 RUE DES BOULETS - 75011 PARIS,48.8521930954, 2.38902165058,
18113,18113 - LEPIC,70 - 72 RUE LEPIC - 75018 PARIS,48.887573071, 2.33432733642,
8033,08033 - SAINT PHILIPPE DU ROULE,1 RUE DU CDT RIVIERE - 75008 PARIS,48.8727876808, 2.30972258893,
19025,19025 - BOTZARIS,FACE 80 RUE BOTZARIS - 75019 PARIS,48.8795614522, 2.38896041078,
11035,11035 - GONCOURT,140 AVENUE PARMENTIER - 75011 PARIS,48.8694696053, 2.37153681066,
15031,15031 - THEATRE,60 RUE DU THEATRE - 75015 PARIS,48.8481703414, 2.28990664646,
11010,11010 - ST ANTOINE GONNET,1 RUE DES BOULETS - 75011 PARIS,48.8492592621, 2.39175461419,
21303,21303 - ILES (ISSY LES MOULINEAUX),ANGLE AVENUE JEAN MONNET ET BOULEVARD DES ILES -  92130 ISSY LES MOULINEAUX,48.823450547, 2.24966529829,
17001,17001 - GUY MOQUET,RUE GUY MOQUET - 75017 PARIS,48.892822963, 2.32680348983,
8004,08004 - MALESHERBES PASQUIER,FACE 4 BD MALESHERBES - 75008 PARIS,48.8704218834, 2.32328899479,
10036,10036 - AQUEDUC,80 RUE DE L'AQUEDUC - 75010 PARIS,48.8838432657, 2.36711064403,
4105,04105 - MORLAND,17 BOULEVARD DU MORLAND - 75004 PARIS,48.8499600353, 2.36323986872,
18017,18017 - PECQUEUR,93 RUE CAULAINCOURT - 75018 PARIS,48.889677905, 2.33817871443,
10105,10105 - BONNE NOUVELLE PROP2,2 RUE DE MAZAGRAN - 75010 PARIS,48.8702780786, 2.35128163669,
9033,09033 - HAVRE CAUMARTIN,FACE 45 RUE CAUMARTIN - 75009 PARIS,48.8727950199, 2.32831574262,
14116,14116 - ROMAIN ROLLAND,49-51 BD ROMAIN ROLLAND - 75014 PARIS,48.8203236461, 2.32300304092,
12027,12027 - MONTGALLET CHARENTON,2 RUE MONTGALLET - 75012 PARIS,48.8426477787, 2.38616492781,
16028,16028 - MILLET - JEAN DE LA FONTAINE,12 RUE FRANCOIS MILLET - 75016 PARIS,48.8510048747, 2.27246948292,
5010,05010 - SAINT MICHEL HENRI BARBUSSE,1 RUE HENRI BARBUSSE - 75005 PARIS,48.8437569813, 2.33930672198,
43009,43009 - MURS DU PARC (VINCENNES),AVENUE DES MURS DU PARC - 94300 VINCENNES,48.8469612602, 2.4522373966,
19116,19116 - JAURES VILLETTE,180 BOULEVARD DE LA VILLETTE - 75019 PARIS,48.8814724985, 2.37026248226,
20043,20043 - CHARONNE AVRON,48 BOULEVARD DE CHARONNE - 75011 PARIS,48.8516026652, 2.39840304704,
2016,02016 - ABOUKIR,108 RUE D'ABOUKIR - 75002 PARIS,48.8686604815, 2.35018588824,
18006,18006 - MARCHE ST-PIERRE,PLACE SAINT PIERRE - 75018 PARIS,48.8846916064, 2.34413928595,
17012,17012 - MAIRIE DU 17EME,FACE 16 RUE DES BATIGNOLLES - 75017 PARIS,48.8841012932, 2.32220602535,
21003,21003 - JAURES 1 (BOULOGNE-BILLANCOURT),2 BOULEVARD JEAN JAURES -  92100 BOULOGNE-BILLANCOURT,48.8456381388, 2.23701147134,
14037,14037 - JEAN MOULIN,56 AVENUE JEAN MOULIN - 75014 PARIS,48.825709817, 2.32184998734,
11037,11037 - FAUBOURG DU TEMPLE PLACE DE LA REPUBLIQUE,2 RUE DU FAUBOURG DU TEMPLE - 75011 PARIS,48.868, 2.36498,
10034,10034 - CHAPELLE LOUIS BLANC,68 RUE LOUIS BLANC - 75010 PARIS,48.8838493184, 2.36005308899,
17041,17041 - PORTE DE VILLIERS,51 RUE GUERSANT - 75017 PARIS,48.8828777518, 2.28766737081,
11027,11027 - SAINT AMBROISE PARMENTIER,17 RUE SAINT AMBROISE - 75011 PARIS,48.8621350385, 2.37722985857,
12002,12002 - LACUEE,17 RUE LACUEE - 75012 PARIS,48.8492158626, 2.37050342387,
13122,13122 - PARC DE CHOISY,FACE 153 AVENUE DE CHOISY - 75013 PARIS,48.8281562516, 2.3585135329,
8015,08015 - ROQUEPINE,4 RUE ROQUEPINE - 75008 PARIS,48.8734861693, 2.32028123421,
19119,19119 - BOURET PAILLERON,20 RUE EDOUARD PAILLERON - 75019 PARIS,48.8805744614, 2.37685300056,
10002,10002 - STRASBOURG,3 BD STRASBOURG - 75010 PARIS,48.8696791245, 2.35432769738,
10153,10153 - GARE DU NORD 3,7 BOULEVARD DE DENAIN - 75010 PARIS,48.8795777185, 2.35446313115,
17019,17019 - MALESHERBES,20 RUE DE PHALSBOURG - 75017 PARIS,48.8826088164, 2.30902648734,
18032,18032 - PORTE DE CLIGNANCOURT,FACE 59 RUE BELLIARD - 75018 PARIS,48.8974884597, 2.34399649934,
20105,20105 - GAUMONT,AVENUE BENOIT FRACHON - 75020 PARIS,48.8525533927, 2.41554237211,
5017,05017 - DESCARTES,17 RUE DESCARTES - 75005 PARIS,48.8466018658, 2.34901473289,
7101,07101 - SEVRES BABYLONE,BOULEVARD RASPAIL - 75007 PARIS,48.8522416177, 2.32660601948,
18024,18024 - CLIGNANCOURT MARCADET,105 RUE DE CLIGNANCOURT - 75018 PARIS,48.8914577262, 2.34863647806,
15020,15020 - MAIRIE DU 15EME,4 RUE LEON SECHE - 75015 PARIS,48.8417096402, 2.29854929401,
33103,33103 - JAURES 2 (PRE SAINT GERVAIS),34 AVENUE JEAN JAURES - 93310 LE PRE SAINT GERVAIS,48.8840012644, 2.40798991939,
19013,19013 - LAUMIERE,8 & 1 RUE PETIT - 75019 PARIS,48.8845807407, 2.38012665025,
5015,05015 - MOUFFETARD EPEE DE BOIS,12 RUE DE L'EPEE DE BOIS - 75005 PARIS,48.8415076374, 2.34998304703,
15109,15109 - CEVENNES,65 - 67 RUE DES CEVENNES - 75015 PARIS,48.8424414522, 2.28107075522,
5004,05004 - SAINT JACQUES VAL DE GRACE,272 RUE SAINT JACQUES - 75005 PARIS,48.8418659565, 2.34120202666,
23006,23006 - GUESDE (LEVALLOIS),8 RUE JULES GUESDE - 92300 LEVALLOIS-PERRET,48.8908603229, 2.29500037014,
16111,16111 - HELIE,4 - 6 rue Faustin Helie - 75016 PARIS,48.8594030819, 2.27652208903,
1006,01006 - GRANDE TRUANDERIE,2-4 rue DE LA GRANDE TRUANDERIE 75001 PARIS,48.8626318042, 2.34973214483,
18047,18047 - ST OUEN LAMARCK,53 AVENUE DE SAINT OUEN - 75018 PARIS,48.8910830403, 2.32673569484,
12022,12022 - BIZOT,FACE 29 RUE DU SAHEL - 75012 PARIS,48.8408998138, 2.40438010296,
42202,42202 - RONSARD (CHARENTON),1 RUE  KENNEDY / ALLEE RONSARD - 94220 CHARENTON,48.8227360121, 2.40565920321,
13033,13033 - PORTE D'ITALIE,15 AVENUE DE LA PORTE D'ITALIE - 75013 PARIS,48.8173123004, 2.36021848094,
42002,42002 - GARE (IVRY),VIS-A-VIS DU 17 RUE DE LA GARE - 94200 IVRY SUR SEINE,48.8149264672, 2.39200163582,
1004,01004 - MARGUERITE DE NAVARRE,12 RUE DES HALLES - 75001 PARIS,48.8598963144, 2.34675666755,
42010,42010 - ROBESPIERRE (IVRY),1 RUE ROBESPIERRE - 94200 IVRY,48.8108458646, 2.38395086342,
15122,15122 - PLACE CHARLES VALLIN,PLACE CHARLES VALLIN - 75015 PARIS,48.8355247536, 2.30262194094,
8020,08020 - METRO ROME,74 BOULEVARD DES BATIGNOLLES - 75008 PARIS,48.8821489456, 2.31986005477,
7012,07012 - CITE VANEAU,7 CITE VANEAU - 75007 PARIS,48.8542683341, 2.31945401006,
13040,13040 - PORTE DE CHOISY,111 BOULEVARD MASSENA - 75013 PARIS,48.8199419657, 2.36507858639,
15064,15064 - JAVEL,DEV 5 AVENUE EMILE ZOLA - 75015 PARIS,48.8462949183, 2.27841391259,
22012,22012 - MICHELIS (NEUILLY),32 RUE DE MADELEINE MICHELIS - 92200 NEUILLY,48.8827499155, 2.27740638128,
4012,04012 - ECOUFFES RIVOLI,2 RUE TIRON - 75004 PARIS,48.8557966374, 2.35790788214,
5018,05018 - MUTUALITE,20 RUE MONGE - 75005 PARIS,48.8483857647, 2.35016993902,
35006,35006 - DELIZY (PANTIN),FACE AU 23 RUE DELIZY - 93500 PANTIN,48.8963319317, 2.40908765273,
21204,21204 - D'ORVES (MONTROUGE),FACE 44 RUE D'ESTIENNES D'ORVES / PISCINE - 92120 MONTROUGE,48.8153882204, 2.32088679076,
31002,31002 - REPUBLIQUE (MONTREUIL),38 RUE DE LA REPUBLIQUE - 93100 MONTREUIL,48.8528141913, 2.41930708875,
14125,14125 - DAREAU,34 RUE DAREAU - 75014 PARIS,48.8307232146, 2.3361465572,
43008,43008 - FONTENAY (VINCENNES),12 RUE DE FONTENAY - 94300 VINCENNES,48.8477906645, 2.44469088783,
33104,33104 - JOINEAU (PRE SAINT GERVAIS),RUE ANDRE JOINEAU / PLACE ANATOLE FRANCE - 93310 LE PRE SAINT GERVAIS,48.8836202338, 2.40324031837,
14108,14108 - JOURDAN LE BRIX ET MESNIN,RUE LE BRIX ET MESNIN - 75014 PARIS,48.8223409659, 2.3278616533,
19118,19118 - BOLIVAR BURNOUF,82 AVENUE SIMON BOLIVAR - 75019 PARIS,48.8771241777, 2.37427650924,
6008,06008 - ASSAS LUXEMBOURG,90 RUE D'ASSAS - 75006 PARIS,48.8437344688, 2.33342838188,
18001,18001 - DAMREMONT CAULAINCOURT,6 RUE DAMREMONT - 75018 PARIS,48.8872746426, 2.33264836385,
10014,10014 - BEAUREPAIRE,14 RUE DE MARSEILLE - 75010 PARIS,48.871662662, 2.36393331138,
19115,19115 - PORTE DE LA VILLETTE,1 AVENUE DE LA PORTE DE LA VILLETTE - 75019 PARIS,48.8984900531, 2.38612000821,
19027,19027 - SERRURIER,FACE 109 BOULEVARD SERURIER - 75019 PARIS,48.8806060536, 2.39789629061,
19026,19026 - DANUBE,53 RUE MIGUEL HIDALGO - 75019 PARIS,48.8819531724, 2.39249621665,
17030,17030 - RENNEQUIN PEREIRE,143 BOULEVARD DE PEREIRE - 75017 PARIS,48.8836391539, 2.29515206745,
15103,15103 - SQUARE DES CÉVENNES,01 RUE CAUCHY - 75015 PARIS,48.8434172324, 2.27510833206,
20025,20025 - GAMBETTA GATINES,13 RUE DES GATINES - 75020 PARIS,48.8653941647, 2.39781447531,
10025,10025 - ECLUSES SAINT MARTIN,148 QUAI DE JEMMAPES - 75010 PARIS,48.8774203431, 2.36601144898,
13038,13038 - CHOISY POINT D'IVRY,28 AVENUE DE CHOISY - 75013 PARIS,48.8219079688, 2.36333471061,
1010,01010 - PONT NEUF,10 RUE BOUCHER - 75001 PARIS,48.8594623892, 2.34436612845,
13120,13120 - VITRY DESAULT,RUE PIERRE ET JOSEPH DESAULT - 75013 PARIS,48.8211387514, 2.37871860661,
12028,12028 - VIVALDI,42 ALLEE VIVALDI - 75012 PARIS,48.8419236633, 2.38972897947,
9022,09022 - LAFITTE ROSSINI,19 RUE ROSSINI - 75009 PARIS,48.8733462751, 2.3379808677,
16029,16029 - MAISON DE RADIO FRANCE,1 RUE GROS - 75016 PARIS,48.8513599126, 2.27769726945,
14006,14006 - SAINT JACQUES TOMBE ISSOIRE,46 BOULEVARD SAINT JACQUES - 75014 PARIS,48.8331903188, 2.33693339125,
31702,31702 - CURIE (BAGNOLET),40 PIERRE ET MARIE CURIE - 93170 BAGNOLET,48.8706580129, 2.42404643754,
18038,18038 - ROND POINT DE LA CHAPELLE,70 RUE DE LA CHAPELLE - 75018 PARIS,48.8952199047, 2.3600976191,
17119,17119 - TOQUEVILLE,64 RUE DE TOQUEVILLE - 75017 PARIS,48.8849243589, 2.31090855294,
11021,11021 - PHILIPPE AUGUSTE (20EME ARR.),212 BOULEVARD CHARONNE - 75011 PARIS,48.8584450543, 2.39039812239,
16121,16121 - SABLONS MAILLOT,ROUTE PORTE DES SABLONS / PORTE MAILLOT - 75016 PARIS,48.8787208918, 2.27056809721,
20109,20109 - SURMELIN HAXO,2 RUE HAXO - 75020 PARIS,48.8694370761, 2.40539657538,
16024,16024 - KENNEDY RANELAGH,4 RUE RANELAGH DEVANT RER - 75016 PARIS,48.8529331605, 2.28043971999,
14025,14025 - JACQUIER,10 RUE JACQUIER - 75014 PARIS,48.8295704047, 2.31835302141,
8010,08010 - LIEGE,22 RUE DE LIEGE - 75008 PARIS,48.8795811656, 2.32642735247,
